Latitude (decimal degrees):	31.668
Longitude (decimal degrees):	-106.288
Elevation (m):	1112
Radiation database:	PVGIS-ERA5


Slope: 54 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	0.4
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190101:0030,0.0,0.0,0.0,0.0,-4.24,9.25,0.76,0.0
20190101:0130,0.0,0.0,0.0,0.0,0.0,7.9,1.03,0.0
20190101:0230,0.0,0.0,0.0,0.0,0.0,5.51,1.52,0.0
20190101:0330,0.0,0.0,0.0,0.0,0.0,5.43,1.31,0.0
20190101:0430,0.0,0.0,0.0,0.0,0.0,4.7,1.31,0.0
20190101:0530,0.0,0.0,0.0,0.0,0.0,4.05,1.24,0.0
20190101:0630,0.0,0.0,0.0,0.0,0.0,3.52,1.17,0.0
20190101:0730,0.0,0.0,0.0,0.0,0.0,0.26,2.07,0.0
20190101:0830,0.0,0.0,0.0,0.0,0.0,-0.29,2.07,0.0
20190101:0930,0.0,0.0,0.0,0.0,0.0,-0.03,1.79,0.0
20190101:1030,0.0,0.0,0.0,0.0,0.0,-0.07,1.66,0.0
20190101:1130,0.0,0.0,0.0,0.0,0.0,-0.47,1.59,0.0
20190101:1230,0.0,0.0,0.0,0.0,0.0,-1.27,1.79,0.0
20190101:1330,0.0,0.0,0.0,0.0,0.0,-2.24,2.28,0.0
20190101:1430,162.2,382.49,62.45,2.04,3.86,-2.15,3.03,0.0
20190101:1530,273.86,620.21,140.77,9.29,14.37,-0.08,4.48,0.0
20190101:1630,334.34,799.64,143.3,16.49,23.46,2.45,5.72,0.0
20190101:1730,369.81,915.98,138.51,22.48,30.45,4.31,6.48,0.0
20190101:1830,377.78,948.05,138.87,25.65,34.55,6.12,6.62,0.0
20190101:1930,362.6,920.97,132.73,25.22,35.08,7.37,5.59,0.0
20190101:2030,363.19,937.37,133.67,23.7,31.95,8.97,5.17,0.0
20190101:2130,342.33,876.93,135.85,18.85,25.7,10.14,5.03,0.0
20190101:2230,299.36,742.19,136.74,11.95,17.13,10.56,5.03,0.0
20190101:2330,209.42,488.51,113.19,4.13,6.97,9.37,5.17,0.0
20190102:0030,0.0,0.0,0.0,0.0,-4.11,6.55,5.17,0.0
20190102:0130,0.0,0.0,0.0,0.0,0.0,3.88,4.41,0.0
20190102:0230,0.0,0.0,0.0,0.0,0.0,2.23,4.41,0.0
20190102:0330,0.0,0.0,0.0,0.0,0.0,0.89,4.83,0.0
20190102:0430,0.0,0.0,0.0,0.0,0.0,-0.07,5.1,0.0
20190102:0530,0.0,0.0,0.0,0.0,0.0,-0.59,5.17,0.0
20190102:0630,0.0,0.0,0.0,0.0,0.0,-0.92,5.31,0.0
20190102:0730,0.0,0.0,0.0,0.0,0.0,-2.59,4.76,0.0
20190102:0830,0.0,0.0,0.0,0.0,0.0,-2.68,4.83,0.0
20190102:0930,0.0,0.0,0.0,0.0,0.0,-3.02,4.48,0.0
20190102:1030,0.0,0.0,0.0,0.0,0.0,-3.23,4.55,0.0
20190102:1130,0.0,0.0,0.0,0.0,0.0,-3.3,5.38,0.0
20190102:1230,0.0,0.0,0.0,0.0,0.0,-3.38,6.34,0.0
20190102:1330,0.0,0.0,0.0,0.0,0.0,-3.34,6.34,0.0
20190102:1430,147.2,346.88,51.22,1.82,3.83,-3.34,5.31,0.0
20190102:1530,230.84,488.43,137.32,8.17,14.35,-2.77,4.83,0.0
20190102:1630,312.65,711.47,147.35,15.31,23.46,-1.24,5.93,0.0
20190102:1730,312.11,725.15,135.56,18.8,30.49,0.72,6.14,0.0
20190102:1830,293.12,641.38,168.37,20.06,34.62,2.27,6.14,0.0
20190102:1930,305.55,628.14,239.74,22.26,35.18,2.76,3.72,0.0
20190102:2030,278.14,550.26,252.37,19.85,32.07,3.64,2.14,0.0
20190102:2130,259.14,528.89,223.58,15.92,25.83,4.27,1.59,0.0
20190102:2230,166.68,312.87,160.84,8.66,17.27,4.42,1.45,0.0
20190102:2330,93.86,191.99,77.16,2.85,7.11,4.08,2.55,0.0
20190103:0030,0.0,0.0,0.0,0.0,-3.98,3.3,2.9,0.0
20190103:0130,0.0,0.0,0.0,0.0,0.0,1.9,3.1,0.0
20190103:0230,0.0,0.0,0.0,0.0,0.0,0.88,3.03,0.0
20190103:0330,0.0,0.0,0.0,0.0,0.0,0.02,2.28,0.0
20190103:0430,0.0,0.0,0.0,0.0,0.0,-1.31,1.66,0.0
20190103:0530,0.0,0.0,0.0,0.0,0.0,-1.78,1.45,0.0
20190103:0630,0.0,0.0,0.0,0.0,0.0,-2.75,1.72,0.0
20190103:0730,0.0,0.0,0.0,0.0,0.0,-2.82,2.41,0.0
20190103:0830,0.0,0.0,0.0,0.0,0.0,-3.02,2.48,0.0
20190103:0930,0.0,0.0,0.0,0.0,0.0,-3.17,2.55,0.0
20190103:1030,0.0,0.0,0.0,0.0,0.0,-3.37,2.55,0.0
20190103:1130,0.0,0.0,0.0,0.0,0.0,-3.61,2.55,0.0
20190103:1230,0.0,0.0,0.0,0.0,0.0,-3.88,2.41,0.0
20190103:1330,0.0,0.0,0.0,0.0,0.0,-4.24,2.28,0.0
20190103:1430,166.08,392.34,61.21,2.02,3.8,-4.68,1.93,0.0
20190103:1530,279.96,659.8,131.77,9.46,14.35,-3.76,1.45,0.0
20190103:1630,332.27,835.32,137.43,16.9,23.48,-0.14,1.66,0.0
20190103:1730,358.2,921.12,136.03,22.57,30.53,2.07,2.34,0.0
20190103:1830,370.04,956.7,134.09,25.8,34.69,3.84,3.17,0.0
20190103:1930,373.12,963.96,133.74,26.32,35.28,5.52,4.0,0.0
20190103:2030,366.81,946.22,135.61,24.08,32.19,6.67,4.21,0.0
20190103:2130,347.19,886.95,138.82,19.24,25.96,7.55,4.07,0.0
20190103:2230,304.08,752.91,139.55,12.28,17.4,7.91,3.79,0.0
20190103:2330,215.15,503.08,117.4,4.38,7.25,7.73,3.45,0.0
20190104:0030,0.0,0.0,0.0,0.0,-3.84,6.51,2.62,0.0
20190104:0130,0.0,0.0,0.0,0.0,0.0,4.69,2.28,0.0
20190104:0230,0.0,0.0,0.0,0.0,0.0,2.52,2.0,0.0
20190104:0330,0.0,0.0,0.0,0.0,0.0,0.66,2.21,0.0
20190104:0430,0.0,0.0,0.0,0.0,0.0,-0.76,2.14,0.0
20190104:0530,0.0,0.0,0.0,0.0,0.0,-1.78,2.0,0.0
20190104:0630,0.0,0.0,0.0,0.0,0.0,-2.07,1.66,0.0
20190104:0730,0.0,0.0,0.0,0.0,0.0,0.19,1.03,0.0
20190104:0830,0.0,0.0,0.0,0.0,0.0,-1.24,1.31,0.0
20190104:0930,0.0,0.0,0.0,0.0,0.0,-2.39,1.52,0.0
20190104:1030,0.0,0.0,0.0,0.0,0.0,-3.51,1.79,0.0
20190104:1130,0.0,0.0,0.0,0.0,0.0,-3.98,1.93,0.0
20190104:1230,0.0,0.0,0.0,0.0,0.0,-3.98,1.86,0.0
20190104:1330,0.0,0.0,0.0,0.0,0.0,-3.02,1.31,0.0
20190104:1430,167.54,402.01,61.69,2.04,3.78,-2.94,1.31,0.0
20190104:1530,278.07,667.56,132.06,9.53,14.34,-2.31,0.9,0.0
20190104:1630,326.31,844.1,137.13,17.03,23.5,0.68,0.62,0.0
20190104:1730,348.57,930.6,134.89,22.75,30.58,3.4,0.97,0.0
20190104:1830,357.11,962.84,132.58,25.95,34.77,5.4,1.38,0.0
20190104:1930,363.48,968.9,132.25,26.46,35.39,7.09,2.48,0.0
20190104:2030,356.91,949.24,134.21,24.18,32.32,8.46,2.69,0.0
20190104:2130,337.37,889.3,137.66,19.33,26.1,9.45,2.48,0.0
20190104:2230,296.39,758.77,138.9,12.41,17.55,9.98,2.07,0.0
20190104:2330,213.88,512.89,118.76,4.51,7.39,9.89,2.0,0.0
20190105:0030,0.0,0.0,0.0,0.0,-3.69,8.94,1.45,0.0
20190105:0130,0.0,0.0,0.0,0.0,0.0,6.99,1.03,0.0
20190105:0230,0.0,0.0,0.0,0.0,0.0,6.79,1.03,0.0
20190105:0330,0.0,0.0,0.0,0.0,0.0,5.71,1.24,0.0
20190105:0430,0.0,0.0,0.0,0.0,0.0,4.78,0.9,0.0
20190105:0530,0.0,0.0,0.0,0.0,0.0,4.02,0.69,0.0
20190105:0630,0.0,0.0,0.0,0.0,0.0,3.34,0.21,0.0
20190105:0730,0.0,0.0,0.0,0.0,0.0,3.47,0.34,0.0
20190105:0830,0.0,0.0,0.0,0.0,0.0,2.9,0.41,0.0
20190105:0930,0.0,0.0,0.0,0.0,0.0,2.49,0.48,0.0
20190105:1030,0.0,0.0,0.0,0.0,0.0,2.27,0.34,0.0
20190105:1130,0.0,0.0,0.0,0.0,0.0,2.18,0.21,0.0
20190105:1230,0.0,0.0,0.0,0.0,0.0,2.06,0.34,0.0
20190105:1330,0.0,0.0,0.0,0.0,0.0,1.91,0.48,0.0
20190105:1430,165.66,409.94,62.1,2.05,3.77,1.77,0.62,0.0
20190105:1530,265.64,635.77,142.08,9.43,14.35,1.89,0.83,0.0
20190105:1630,291.62,676.24,197.83,16.05,23.53,3.2,0.55,0.0
20190105:1730,333.78,864.69,168.6,22.37,30.64,6.32,0.83,0.0
20190105:1830,345.18,942.63,145.42,25.9,34.86,8.81,0.9,0.0
20190105:1930,325.48,853.47,193.95,25.69,35.51,10.46,0.21,0.0
20190105:2030,314.36,793.02,206.27,23.05,32.46,11.86,0.62,0.0
20190105:2130,227.7,436.78,254.01,15.87,26.25,12.84,0.9,0.0
20190105:2230,71.52,78.61,138.26,6.99,17.69,13.31,1.17,0.0
20190105:2330,32.68,46.16,62.45,2.77,7.53,13.02,0.97,0.0
20190106:0030,0.0,0.0,0.0,0.0,-3.55,12.18,0.9,0.0
20190106:0130,0.0,0.0,0.0,0.0,0.0,10.01,1.38,0.0
20190106:0230,0.0,0.0,0.0,0.0,0.0,8.31,1.72,0.0
20190106:0330,0.0,0.0,0.0,0.0,0.0,7.42,1.66,0.0
20190106:0430,0.0,0.0,0.0,0.0,0.0,7.6,1.31,0.0
20190106:0530,0.0,0.0,0.0,0.0,0.0,8.15,0.97,0.0
20190106:0630,0.0,0.0,0.0,0.0,0.0,7.58,0.97,0.0
20190106:0730,0.0,0.0,0.0,0.0,0.0,6.96,1.24,0.0
20190106:0830,0.0,0.0,0.0,0.0,0.0,6.62,0.76,0.0
20190106:0930,0.0,0.0,0.0,0.0,0.0,6.36,0.97,0.0
20190106:1030,0.0,0.0,0.0,0.0,0.0,4.69,1.45,0.0
20190106:1130,0.0,0.0,0.0,0.0,0.0,3.61,1.93,0.0
20190106:1230,0.0,0.0,0.0,0.0,0.0,3.57,1.79,0.0
20190106:1330,0.0,0.0,0.0,0.0,0.0,5.55,1.03,0.0
20190106:1430,2.93,1.93,16.14,0.82,3.76,6.0,0.83,0.0
20190106:1530,20.57,11.79,59.76,3.09,14.36,6.49,0.76,0.0
20190106:1630,21.29,3.17,70.44,3.66,23.56,6.98,0.69,0.0
20190106:1730,50.96,13.94,141.63,7.45,30.7,8.59,1.03,0.0
20190106:1830,85.34,66.74,184.38,10.4,34.96,10.97,1.79,0.0
20190106:1930,29.62,8.41,90.52,4.81,35.63,13.05,1.31,0.0
20190106:2030,16.92,1.02,61.62,3.19,32.6,13.11,2.48,0.0
20190106:2130,9.34,0.0,39.77,2.05,26.4,12.73,4.48,0.0
20190106:2230,6.16,0.0,29.52,1.52,17.84,11.83,5.66,0.0
20190106:2330,1.08,0.0,10.97,0.56,7.68,11.34,5.31,0.0
20190107:0030,0.0,0.0,0.0,0.0,-3.4,11.01,4.48,0.0
20190107:0130,0.0,0.0,0.0,0.0,0.0,10.52,3.31,0.0
20190107:0230,0.0,0.0,0.0,0.0,0.0,9.53,2.62,0.0
20190107:0330,0.0,0.0,0.0,0.0,0.0,8.71,2.41,0.0
20190107:0430,0.0,0.0,0.0,0.0,0.0,7.85,2.21,0.0
20190107:0530,0.0,0.0,0.0,0.0,0.0,7.27,2.07,0.0
20190107:0630,0.0,0.0,0.0,0.0,0.0,6.37,1.66,0.0
20190107:0730,0.0,0.0,0.0,0.0,0.0,6.03,2.62,0.0
20190107:0830,0.0,0.0,0.0,0.0,0.0,5.14,2.55,0.0
20190107:0930,0.0,0.0,0.0,0.0,0.0,4.73,2.41,0.0
20190107:1030,0.0,0.0,0.0,0.0,0.0,4.52,2.14,0.0
20190107:1130,0.0,0.0,0.0,0.0,0.0,4.07,2.41,0.0
20190107:1230,0.0,0.0,0.0,0.0,0.0,3.36,2.48,0.0
20190107:1330,0.0,0.0,0.0,0.0,0.0,3.16,2.48,0.0
20190107:1430,105.82,251.71,48.5,1.63,3.76,2.71,2.48,0.0
20190107:1530,187.12,380.76,147.07,7.65,14.37,3.13,2.14,0.0
20190107:1630,299.24,707.8,171.66,15.9,23.6,6.49,2.69,0.0
20190107:1730,332.73,793.76,184.74,21.54,30.77,8.6,4.34,0.0
20190107:1830,355.11,879.72,171.83,25.37,35.06,10.13,5.03,0.0
20190107:1930,360.08,935.13,144.08,26.25,35.76,12.6,5.24,0.0
20190107:2030,349.78,907.0,149.5,23.97,32.75,13.77,4.9,0.0
20190107:2130,310.95,743.38,192.75,18.54,26.55,14.57,4.62,0.0
20190107:2230,247.63,548.71,186.94,11.49,18.0,14.91,4.55,0.0
20190107:2330,139.07,290.33,120.2,4.09,7.84,14.57,4.0,0.0
20190108:0030,0.0,0.0,0.0,0.0,-3.25,13.19,2.62,0.0
20190108:0130,0.0,0.0,0.0,0.0,0.0,11.15,2.14,0.0
20190108:0230,0.0,0.0,0.0,0.0,0.0,9.1,1.86,0.0
20190108:0330,0.0,0.0,0.0,0.0,0.0,9.83,1.31,0.0
20190108:0430,0.0,0.0,0.0,0.0,0.0,9.97,0.76,0.0
20190108:0530,0.0,0.0,0.0,0.0,0.0,9.44,0.07,0.0
20190108:0630,0.0,0.0,0.0,0.0,0.0,8.93,0.14,0.0
20190108:0730,0.0,0.0,0.0,0.0,0.0,8.34,0.48,0.0
20190108:0830,0.0,0.0,0.0,0.0,0.0,7.56,0.76,0.0
20190108:0930,0.0,0.0,0.0,0.0,0.0,6.79,1.03,0.0
20190108:1030,0.0,0.0,0.0,0.0,0.0,5.46,1.24,0.0
20190108:1130,0.0,0.0,0.0,0.0,0.0,5.09,1.03,0.0
20190108:1230,0.0,0.0,0.0,0.0,0.0,4.49,0.9,0.0
20190108:1330,0.0,0.0,0.0,0.0,0.0,2.45,1.45,0.0
20190108:1430,7.0,8.37,22.94,1.13,3.76,1.95,1.52,0.0
20190108:1530,37.09,21.84,93.26,4.73,14.39,2.46,1.17,0.0
20190108:1630,81.01,57.54,177.41,9.26,23.65,4.86,0.41,0.0
20190108:1730,121.36,120.75,230.19,12.8,30.85,7.84,0.48,0.0
20190108:1830,213.86,350.71,286.11,18.96,35.17,10.0,0.55,0.0
20190108:1930,165.72,178.97,309.95,17.7,35.9,12.17,0.9,0.0
20190108:2030,184.65,264.88,287.58,17.18,32.91,13.46,0.76,0.0
20190108:2130,122.66,146.75,218.54,11.93,26.72,14.53,0.9,0.0
20190108:2230,43.67,28.06,111.71,5.76,18.16,15.09,1.17,0.0
20190108:2330,18.58,17.11,51.34,2.51,7.99,15.36,1.59,0.0
20190109:0030,0.0,0.0,0.0,0.0,-3.09,15.05,1.79,0.0
20190109:0130,0.0,0.0,0.0,0.0,0.0,13.8,2.9,0.0
20190109:0230,0.0,0.0,0.0,0.0,0.0,13.27,4.48,0.0
20190109:0330,0.0,0.0,0.0,0.0,0.0,12.59,5.86,0.0
20190109:0430,0.0,0.0,0.0,0.0,0.0,11.87,6.07,0.0
20190109:0530,0.0,0.0,0.0,0.0,0.0,11.4,5.79,0.0
20190109:0630,0.0,0.0,0.0,0.0,0.0,10.94,5.52,0.0
20190109:0730,0.0,0.0,0.0,0.0,0.0,8.89,5.38,0.0
20190109:0830,0.0,0.0,0.0,0.0,0.0,7.83,5.52,0.0
20190109:0930,0.0,0.0,0.0,0.0,0.0,6.98,5.72,0.0
20190109:1030,0.0,0.0,0.0,0.0,0.0,6.13,5.66,0.0
20190109:1130,0.0,0.0,0.0,0.0,0.0,5.68,5.59,0.0
20190109:1230,0.0,0.0,0.0,0.0,0.0,5.17,5.31,0.0
20190109:1330,0.0,0.0,0.0,0.0,0.0,5.08,5.1,0.0
20190109:1430,88.84,206.23,48.98,1.61,3.76,4.91,4.97,0.0
20190109:1530,140.76,264.08,130.49,6.6,14.42,5.25,4.76,0.0
20190109:1630,204.66,384.13,189.44,12.33,23.7,6.62,5.45,0.0
20190109:1730,218.92,371.96,246.13,16.49,30.94,8.49,5.72,0.0
20190109:1830,133.3,160.88,217.72,13.34,35.29,10.33,5.66,0.0
20190109:1930,124.22,107.91,246.24,13.97,36.05,10.78,6.0,0.0
20190109:2030,210.47,326.63,274.12,17.53,33.07,11.31,6.0,0.0
20190109:2130,293.87,672.61,188.23,17.51,26.88,12.23,5.66,0.0
20190109:2230,236.84,521.83,169.75,11.01,18.33,13.03,5.17,0.0
20190109:2330,193.06,452.91,111.74,4.57,8.15,13.14,4.62,0.0
20190110:0030,0.0,0.0,0.0,0.0,-2.94,12.58,3.66,0.0
20190110:0130,0.0,0.0,0.0,0.0,0.0,11.04,3.66,0.0
20190110:0230,0.0,0.0,0.0,0.0,0.0,9.9,3.93,0.0
20190110:0330,0.0,0.0,0.0,0.0,0.0,9.19,4.0,0.0
20190110:0430,0.0,0.0,0.0,0.0,0.0,8.53,3.31,0.0
20190110:0530,0.0,0.0,0.0,0.0,0.0,7.65,2.41,0.0
20190110:0630,0.0,0.0,0.0,0.0,0.0,6.59,2.21,0.0
20190110:0730,0.0,0.0,0.0,0.0,0.0,5.05,1.72,0.0
20190110:0830,0.0,0.0,0.0,0.0,0.0,4.53,2.0,0.0
20190110:0930,0.0,0.0,0.0,0.0,0.0,4.81,1.93,0.0
20190110:1030,0.0,0.0,0.0,0.0,0.0,4.12,1.72,0.0
20190110:1130,0.0,0.0,0.0,0.0,0.0,3.67,1.79,0.0
20190110:1230,0.0,0.0,0.0,0.0,0.0,3.11,1.86,0.0
20190110:1330,0.0,0.0,0.0,0.0,0.0,2.81,1.72,0.0
20190110:1430,81.36,187.02,48.13,1.59,3.78,2.81,1.66,0.0
20190110:1530,142.84,258.71,146.4,7.04,14.45,3.79,1.31,0.0
20190110:1630,211.78,411.41,206.22,13.16,23.76,7.31,1.17,0.0
20190110:1730,204.01,342.04,258.12,16.53,31.03,10.18,1.24,0.0
20190110:1830,187.94,276.94,281.2,17.72,35.41,12.03,0.76,0.0
20190110:1930,197.67,310.19,281.11,18.43,36.2,12.65,0.69,0.0
20190110:2030,218.77,393.82,263.18,18.16,33.24,13.69,1.38,0.0
20190110:2130,137.12,218.33,185.73,11.32,27.06,14.64,2.21,0.0
20190110:2230,75.48,98.02,130.05,6.78,18.5,14.81,2.9,0.0
20190110:2330,43.42,74.84,64.24,2.82,8.31,14.39,3.45,0.0
20190111:0030,0.0,0.0,0.0,0.0,-2.78,12.94,3.59,0.0
20190111:0130,0.0,0.0,0.0,0.0,0.0,11.29,2.9,0.0
20190111:0230,0.0,0.0,0.0,0.0,0.0,10.64,2.28,0.0
20190111:0330,0.0,0.0,0.0,0.0,0.0,10.07,2.07,0.0
20190111:0430,0.0,0.0,0.0,0.0,0.0,9.8,1.86,0.0
20190111:0530,0.0,0.0,0.0,0.0,0.0,9.57,2.0,0.0
20190111:0630,0.0,0.0,0.0,0.0,0.0,9.28,2.21,0.0
20190111:0730,0.0,0.0,0.0,0.0,0.0,8.73,2.55,0.0
20190111:0830,0.0,0.0,0.0,0.0,0.0,8.53,2.62,0.0
20190111:0930,0.0,0.0,0.0,0.0,0.0,8.11,2.48,0.0
20190111:1030,0.0,0.0,0.0,0.0,0.0,7.57,2.28,0.0
20190111:1130,0.0,0.0,0.0,0.0,0.0,6.99,1.93,0.0
20190111:1230,0.0,0.0,0.0,0.0,0.0,6.36,2.0,0.0
20190111:1330,0.0,0.0,0.0,0.0,0.0,5.82,2.14,0.0
20190111:1430,83.69,194.47,49.07,1.61,3.79,5.43,2.41,0.0
20190111:1530,249.28,596.17,123.17,8.83,14.49,5.77,2.69,0.0
20190111:1630,309.28,788.23,129.76,16.23,23.83,8.69,3.03,0.0
20190111:1730,348.11,908.62,126.75,22.45,31.13,10.77,4.76,0.0
20190111:1830,360.3,916.84,150.74,25.89,35.55,12.36,6.34,0.0
20190111:1930,321.8,769.6,170.89,23.68,36.36,13.5,7.38,0.0
20190111:2030,361.93,938.03,131.36,24.54,33.41,13.86,7.93,0.0
20190111:2130,331.64,827.58,148.1,19.21,27.23,14.38,8.21,0.0
20190111:2230,284.8,692.85,139.53,12.33,18.67,14.4,8.07,0.0
20190111:2330,211.3,496.45,116.7,5.0,8.48,13.93,7.79,0.0
20190112:0030,0.0,0.0,0.0,0.0,-2.62,12.71,6.62,0.0
20190112:0130,0.0,0.0,0.0,0.0,0.0,11.02,6.34,0.0
20190112:0230,0.0,0.0,0.0,0.0,0.0,9.94,6.0,0.0
20190112:0330,0.0,0.0,0.0,0.0,0.0,9.14,5.72,0.0
20190112:0430,0.0,0.0,0.0,0.0,0.0,8.54,5.24,0.0
20190112:0530,0.0,0.0,0.0,0.0,0.0,7.76,4.34,0.0
20190112:0630,0.0,0.0,0.0,0.0,0.0,6.59,3.31,0.0
20190112:0730,0.0,0.0,0.0,0.0,0.0,5.26,2.69,0.0
20190112:0830,0.0,0.0,0.0,0.0,0.0,3.72,2.41,0.0
20190112:0930,0.0,0.0,0.0,0.0,0.0,2.6,2.0,0.0
20190112:1030,0.0,0.0,0.0,0.0,0.0,2.73,1.52,0.0
20190112:1130,0.0,0.0,0.0,0.0,0.0,3.37,1.17,0.0
20190112:1230,0.0,0.0,0.0,0.0,0.0,2.95,0.83,0.0
20190112:1330,0.0,0.0,0.0,0.0,0.0,2.36,0.48,0.0
20190112:1430,168.3,417.12,62.41,2.09,3.82,1.82,0.69,0.0
20190112:1530,275.96,679.3,130.99,9.73,14.54,1.54,0.83,0.0
20190112:1630,324.49,852.49,135.44,17.37,23.9,4.07,0.83,0.0
20190112:1730,346.04,925.03,137.81,23.12,31.23,7.64,1.66,0.0
20190112:1830,351.22,912.31,160.98,26.16,35.69,10.08,2.62,0.0
20190112:1930,361.38,945.51,146.28,27.01,36.53,11.61,4.14,0.0
20190112:2030,357.26,942.58,138.21,24.93,33.59,12.59,4.41,0.0
20190112:2130,326.44,809.72,175.19,19.67,27.42,13.21,4.21,0.0
20190112:2230,237.96,499.95,202.07,11.82,18.85,13.45,4.14,0.0
20190112:2330,100.84,185.0,113.55,4.21,8.65,13.23,4.07,0.0
20190113:0030,0.0,0.0,0.0,0.0,-2.45,12.08,3.52,0.0
20190113:0130,0.0,0.0,0.0,0.0,0.0,10.15,3.72,0.0
20190113:0230,0.0,0.0,0.0,0.0,0.0,8.87,4.41,0.0
20190113:0330,0.0,0.0,0.0,0.0,0.0,8.01,4.9,0.0
20190113:0430,0.0,0.0,0.0,0.0,0.0,7.28,5.1,0.0
20190113:0530,0.0,0.0,0.0,0.0,0.0,6.64,4.9,0.0
20190113:0630,0.0,0.0,0.0,0.0,0.0,5.95,4.83,0.0
20190113:0730,0.0,0.0,0.0,0.0,0.0,5.38,5.03,0.0
20190113:0830,0.0,0.0,0.0,0.0,0.0,4.96,5.38,0.0
20190113:0930,0.0,0.0,0.0,0.0,0.0,4.69,5.59,0.0
20190113:1030,0.0,0.0,0.0,0.0,0.0,4.36,5.38,0.0
20190113:1130,0.0,0.0,0.0,0.0,0.0,4.22,5.17,0.0
20190113:1230,0.0,0.0,0.0,0.0,0.0,3.99,4.97,0.0
20190113:1330,0.0,0.0,0.0,0.0,0.0,3.69,4.9,0.0
20190113:1430,132.65,310.93,60.51,1.9,3.85,3.4,4.83,0.0
20190113:1530,275.12,649.17,127.07,9.42,14.59,3.78,4.97,0.0
20190113:1630,329.78,811.99,134.03,16.77,23.98,5.92,5.59,0.0
20190113:1730,359.55,912.25,130.19,22.74,31.35,8.15,6.41,0.0
20190113:1830,367.09,949.5,126.46,26.14,35.83,10.16,6.41,0.0
20190113:1930,366.33,962.5,125.24,26.93,36.7,11.78,5.86,0.0
20190113:2030,356.04,937.41,131.25,24.75,33.78,13.17,5.31,0.0
20190113:2130,332.49,861.71,140.41,19.83,27.6,14.18,4.9,0.0
20190113:2230,269.36,654.2,148.98,12.28,19.03,14.65,4.48,0.0
20190113:2330,199.86,476.23,114.16,5.04,8.82,14.57,4.21,0.0
20190114:0030,0.0,0.0,0.0,0.0,-2.29,13.49,3.66,0.0
20190114:0130,0.0,0.0,0.0,0.0,0.0,11.4,4.48,0.0
20190114:0230,0.0,0.0,0.0,0.0,0.0,9.72,5.66,0.0
20190114:0330,0.0,0.0,0.0,0.0,0.0,8.26,5.66,0.0
20190114:0430,0.0,0.0,0.0,0.0,0.0,7.04,5.45,0.0
20190114:0530,0.0,0.0,0.0,0.0,0.0,6.23,5.24,0.0
20190114:0630,0.0,0.0,0.0,0.0,0.0,5.52,5.03,0.0
20190114:0730,0.0,0.0,0.0,0.0,0.0,4.8,4.62,0.0
20190114:0830,0.0,0.0,0.0,0.0,0.0,4.33,4.34,0.0
20190114:0930,0.0,0.0,0.0,0.0,0.0,4.05,4.14,0.0
20190114:1030,0.0,0.0,0.0,0.0,0.0,3.63,3.86,0.0
20190114:1130,0.0,0.0,0.0,0.0,0.0,3.19,3.59,0.0
20190114:1230,0.0,0.0,0.0,0.0,0.0,2.6,3.24,0.0
20190114:1330,0.0,0.0,0.0,0.0,0.0,2.01,2.97,0.0
20190114:1430,161.99,391.95,60.34,2.04,3.88,1.36,2.76,0.0
20190114:1530,275.9,662.58,127.52,9.58,14.65,1.64,2.34,0.0
20190114:1630,329.22,831.83,134.61,17.13,24.07,4.87,2.97,0.0
20190114:1730,348.14,878.76,151.54,22.69,31.47,7.61,3.79,0.0
20190114:1830,362.1,957.42,127.17,26.43,35.98,9.73,4.0,0.0
20190114:1930,358.96,944.37,138.29,26.98,36.88,10.72,3.79,0.0
20190114:2030,335.73,829.96,187.01,24.11,33.97,12.17,3.52,0.0
20190114:2130,297.84,675.19,221.83,18.9,27.79,13.15,3.45,0.0
20190114:2230,211.12,413.44,209.06,11.44,19.21,13.72,3.52,0.0
20190114:2330,140.0,285.03,126.99,4.69,9.0,13.66,3.52,0.0
20190115:0030,0.0,0.0,0.0,0.0,-2.12,12.84,2.69,0.0
20190115:0130,0.0,0.0,0.0,0.0,0.0,11.19,2.83,0.0
20190115:0230,0.0,0.0,0.0,0.0,0.0,10.17,3.1,0.0
20190115:0330,0.0,0.0,0.0,0.0,0.0,9.36,2.97,0.0
20190115:0430,0.0,0.0,0.0,0.0,0.0,8.65,2.83,0.0
20190115:0530,0.0,0.0,0.0,0.0,0.0,7.92,2.62,0.0
20190115:0630,0.0,0.0,0.0,0.0,0.0,7.07,2.41,0.0
20190115:0730,0.0,0.0,0.0,0.0,0.0,6.75,2.41,0.0
20190115:0830,0.0,0.0,0.0,0.0,0.0,6.28,2.28,0.0
20190115:0930,0.0,0.0,0.0,0.0,0.0,5.63,2.0,0.0
20190115:1030,0.0,0.0,0.0,0.0,0.0,5.34,1.52,0.0
20190115:1130,0.0,0.0,0.0,0.0,0.0,4.95,1.45,0.0
20190115:1230,0.0,0.0,0.0,0.0,0.0,3.96,1.72,0.0
20190115:1330,0.0,0.0,0.0,0.0,0.0,3.49,1.86,0.0
20190115:1430,142.66,343.66,60.09,1.96,3.92,3.04,1.86,0.0
20190115:1530,264.45,647.83,126.84,9.47,14.71,3.9,1.31,0.0
20190115:1630,310.22,828.54,130.36,17.04,24.16,7.61,0.69,0.0
